source_id,source_name,author,title,description,content,url,urlToImage,publishedAt,query,overall_sentiment_score,overall_sentiment_label,category_within_source,source_domain,topics,matched_tickers,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
,Stock Traders Daily,"Rolland S., Thomas H. Kee Jr.","Trading the Move, Not the Narrative: (AAPY) Edition","This article provides an in-depth analysis of the Kurv Yield Premium Strategy Apple ETF (NASDAQ: AAPY), highlighting strong sentiment across all time horizons. It details several AI-generated trading strategies, including position trading, momentum breakout, and risk hedging, with specific entry points, targets, and stop losses. The analysis also covers multi-timeframe signal strengths, support, and resistance levels for AAPY.","This article provides an in-depth analysis of the Kurv Yield Premium Strategy Apple ETF (NASDAQ: AAPY), highlighting strong sentiment across all time horizons. It details several AI-generated trading strategies, including position trading, momentum breakout, and risk hedging, with specific entry points, targets, and stop losses. The analysis also covers multi-timeframe signal strengths, support, and resistance levels for AAPY.","https://news.stocktradersdaily.com/news_release/78/Trading_the_Move,_Not_the_Narrative:_AAPY_Edition_020826105802_1770566282.html",https://news.stocktradersdaily.com/media/726225_AAPY_graph.jpg,2026-02-08 10:58:00+00:00,AAPL,0.446804,Bullish,General,Stock Traders Daily,financial_markets,AAPL,0.729319,0.427878,Bullish
,Bloomberg.com,Mark Gurman,"Apple Prepares to Kick Off 2026 With the iPhone 17e, New iPads and Macs","Apple is set to begin 2026 with a major product launch, introducing the iPhone 17e, updated iPads, and new Macs. This comes alongside insights into CEO Tim Cook's address to employees regarding immigration, AI, and the company's 50th anniversary, and a report that Apple has scaled back plans for a new health service. The article was published after Apple's historic quarter, which highlighted the need for an AI reckoning.","Apple is set to begin 2026 with a major product launch, introducing the iPhone 17e, updated iPads, and new Macs. This comes alongside insights into CEO Tim Cook's address to employees regarding immigration, AI, and the company's 50th anniversary, and a report that Apple has scaled back plans for a new health service. The article was published after Apple's historic quarter, which highlighted the need for an AI reckoning.",https://www.bloomberg.com/news/newsletters/2026-02-08/apple-readies-iphone-17e-new-siri-entry-level-ipad-ipad-air-and-macbook-pro-mldr3hpk,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iSXValWQqgiY/v2/-1x-1.webp,2026-02-08 13:05:15+00:00,AAPL,0.425655,Bullish,General,Bloomberg.com,technology,AAPL,1.000000,0.439229,Bullish
,MarketBeat,MarketBeat,"VeriSign, Inc. $VRSN Shares Sold by Diamond Hill Capital Management Inc.","Diamond Hill Capital Management Inc. recently reduced its stake in VeriSign, Inc. by 6.2%, selling over 17,000 shares. Despite missing Q4 consensus EPS, VeriSign reported increased revenue and a raised quarterly dividend. Institutional ownership remains high at 92.9%, though some insider selling has occurred.","Diamond Hill Capital Management Inc. recently reduced its stake in VeriSign, Inc. by 6.2%, selling over 17,000 shares. Despite missing Q4 consensus EPS, VeriSign reported increased revenue and a raised quarterly dividend. Institutional ownership remains high at 92.9%, though some insider selling has occurred.",https://www.marketbeat.com/instant-alerts/filing-verisign-inc-vrsn-shares-sold-by-diamond-hill-capital-management-inc-2026-02-08/,https://www.marketbeat.com/logos/verisign-inc-logo-1200x675.png,2026-02-08 13:15:19+00:00,AAPL,0.048244,Neutral,General,MarketBeat,"earnings,financial_markets,finance,technology",AAPL,0.620243,-0.110579,Neutral
,MLQ.ai,MLQ Editorial,Apple Prepares to Enable Third-Party AI Voice Assistants in CarPlay,"Apple is expected to integrate third-party AI voice assistants like ChatGPT, Claude, and Gemini into CarPlay within the coming months. This move will allow users to access these advanced chatbots through dedicated apps, expanding CarPlay's functionality beyond current categories. While enhancing user options for conversational AI, Siri will maintain its primary role as the default voice assistant for core vehicle and iPhone controls.","Apple is expected to integrate third-party AI voice assistants like ChatGPT, Claude, and Gemini into CarPlay within the coming months. This move will allow users to access these advanced chatbots through dedicated apps, expanding CarPlay's functionality beyond current categories. While enhancing user options for conversational AI, Siri will maintain its primary role as the default voice assistant for core vehicle and iPhone controls.",https://mlq.ai/news/apple-prepares-to-enable-third-party-ai-voice-assistants-in-carplay/,https://mlqpdf.s3.amazonaws.com/news_images/apple-carplay.png,2026-02-08 14:59:10+00:00,AAPL,0.237735,Somewhat-Bullish,General,MLQ.ai,technology,AAPL,1.000000,0.271205,Somewhat-Bullish
,Investing.com South Africa,Investing.com,"Mastercard declares quarterly dividend, sets annual meeting date By Investing.com","Mastercard has announced a quarterly cash dividend of 87 cents per share, continuing its 21-year dividend payment streak and 14 consecutive years of dividend increases. The dividend will be paid on May 8, 2026, to stockholders of record as of April 9, 2026. The company also set June 16, 2026, as the date for its annual meeting of stockholders.","Mastercard has announced a quarterly cash dividend of 87 cents per share, continuing its 21-year dividend payment streak and 14 consecutive years of dividend increases. The dividend will be paid on May 8, 2026, to stockholders of record as of April 9, 2026. The company also set June 16, 2026, as the date for its annual meeting of stockholders.",https://za.investing.com/news/company-news/mastercard-declares-quarterly-dividend-sets-annual-meeting-date-93CH-4107462,https://i-invdn-com.investing.com/news/world_news_2_69x52._800x533_L_1419494365.jpg,2026-02-08 16:43:11+00:00,AAPL,0.326497,Somewhat-Bullish,General,Investing.com South Africa,"earnings,finance,financial_markets",AAPL,0.739580,0.262975,Somewhat-Bullish
,TechStock²,Khadija Saeed,Alibaba stock ends skid after Friday jump as Qwen giveaway hits glitches and earnings near,"Alibaba's U.S.-listed shares climbed roughly 3% on Friday, recovering after a volatile period, partly due to investor re-entry into tech stocks. The company's AI ambitions gained attention as its Qwen app experienced a surge in users following a 3 billion yuan Lunar New Year giveaway, briefly knocking the app offline and facing restrictions on WeChat for sharing campaign links. Despite these glitches and privacy concerns, Qwen rapidly rose in the App Store, and Alibaba is now looking ahead to its quarterly earnings release on February 19th, with investors particularly interested in the sustained momentum of the Qwen rollout and spending patterns.","Alibaba's U.S.-listed shares climbed roughly 3% on Friday, recovering after a volatile period, partly due to investor re-entry into tech stocks. The company's AI ambitions gained attention as its Qwen app experienced a surge in users following a 3 billion yuan Lunar New Year giveaway, briefly knocking the app offline and facing restrictions on WeChat for sharing campaign links. Despite these glitches and privacy concerns, Qwen rapidly rose in the App Store, and Alibaba is now looking ahead to its quarterly earnings release on February 19th, with investors particularly interested in the sustained momentum of the Qwen rollout and spending patterns.",https://ts2.tech/en/alibaba-stock-ends-skid-after-friday-jump-as-qwen-giveaway-hits-glitches-and-earnings-near/,https://ts2.tech/wp-content/uploads/2026/02/alibaba-stock-ends-skid-after-friday-jump-as-qwen-giveaway-hits-glitches-and-earnings-near-featured.jpg.webp,2026-02-08 16:59:15+00:00,AAPL,0.178564,Somewhat-Bullish,General,TechStock²,"earnings,financial_markets,technology,retail_wholesale,economy_macro",AAPL,0.649975,0.102906,Neutral
,Insider Monkey,Ramish Cheema,"Apple (AAPL) Should Be Up Again, Says Jim Cramer","Jim Cramer continues to recommend holding Apple (AAPL) shares, believing the company should see further gains. Major investment banks, Goldman Sachs and Bernstein, have reiterated ""Buy"" and ""Outperform"" ratings, respectively, citing strong App Store performance, record iPhone revenue, and effective navigation of the memory industry. Cramer highlights Apple's potential for a lower-cost phone and increasing market share in China as factors for its continued upward trajectory.","Jim Cramer continues to recommend holding Apple (AAPL) shares, believing the company should see further gains. Major investment banks, Goldman Sachs and Bernstein, have reiterated ""Buy"" and ""Outperform"" ratings, respectively, citing strong App Store performance, record iPhone revenue, and effective navigation of the memory industry. Cramer highlights Apple's potential for a lower-cost phone and increasing market share in China as factors for its continued upward trajectory.",https://www.insidermonkey.com/blog/apple-aapl-should-be-up-again-says-jim-cramer-1691498/,https://imonkey-blog.imgix.net/blog/wp-content/uploads/2015/08/ipad-600642_1280.jpg?auto=format&fit=clip&expires=1802044800&width=480&height=319,2026-02-08 18:31:48+00:00,AAPL,0.352609,Bullish,General,Insider Monkey,financial_markets,AAPL,1.000000,0.440800,Bullish
,Yahoo! Finance Canada,Ramish Cheema,"Qualcomm’s (QCOM) Hurt By Memory, Says Jim Cramer","Jim Cramer commented on Qualcomm's recent earnings report, suggesting that the company is being hurt by a lack of memory, comparing it to Sony. Qualcomm's shares have fallen significantly, and analysts anticipate weaker-than-expected guidance due to concerns about Apple's products and challenges in the Chinese smartphone market. Cramer noted that Apple, despite some complaints, is performing well due to its memory capabilities.","Jim Cramer commented on Qualcomm's recent earnings report, suggesting that the company is being hurt by a lack of memory, comparing it to Sony. Qualcomm's shares have fallen significantly, and analysts anticipate weaker-than-expected guidance due to concerns about Apple's products and challenges in the Chinese smartphone market. Cramer noted that Apple, despite some complaints, is performing well due to its memory capabilities.",https://ca.finance.yahoo.com/news/qualcomm-qcom-hurt-memory-says-182935774.html,https://s.yimg.com/ny/api/res/1.2/nptDRVtVcw7Tgw3Xj0_r_g--/YXBwaWQ9aGlnaGhsYW5kZXJ;wPTk2MDtoPTc1Nw--/https://media.zenfs.com/en/insidermonkey.com/5004952c3ca0c0719b438747c4545335,2026-02-08 18:35:08+00:00,AAPL,-0.151207,Somewhat-Bearish,General,Yahoo! Finance Canada,"earnings,technology,financial_markets",AAPL,0.708818,0.143022,Neutral
,Finviz,Ramish Cheema,"Qualcomm's (QCOM) Hurt By Memory, Says Jim Cramer","Jim Cramer commented on Qualcomm (QCOM) following its earnings report, stating that the company is ""hurt by memory."" This comes as Cantor Fitzgerald suggested Qualcomm might issue weaker-than-expected guidance due to concerns about Apple's products and challenges in the Chinese smartphone market. Despite acknowledging QCOM's investment potential, the article highlights a focus on AI stocks for higher returns and limited downside risk.","Jim Cramer commented on Qualcomm (QCOM) following its earnings report, stating that the company is ""hurt by memory."" This comes as Cantor Fitzgerald suggested Qualcomm might issue weaker-than-expected guidance due to concerns about Apple's products and challenges in the Chinese smartphone market. Despite acknowledging QCOM's investment potential, the article highlights a focus on AI stocks for higher returns and limited downside risk.",https://finviz.com/news/303829/qualcomms-qcom-hurt-by-memory-says-jim-cramer,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2017/01/18071722/46657474_ml.jpg,2026-02-08 18:43:42+00:00,AAPL,-0.211531,Somewhat-Bearish,General,Finviz,"earnings,technology,financial_markets",AAPL,0.713911,-0.116815,Neutral
,Finviz,Ramish Cheema,"Apple (AAPL) Should Be Up Again, Says Jim Cramer","Jim Cramer remains optimistic about Apple (AAPL), advising investors to own rather than trade the stock. Goldman Sachs and Bernstein both reiterated ""Buy"" and ""Outperform"" ratings respectively, citing improving App Store trends and strong iPhone revenue. Cramer believes Apple is well-positioned for further growth, especially in the context of its memory industry navigation and increasing market share in China.","Jim Cramer remains optimistic about Apple (AAPL), advising investors to own rather than trade the stock. Goldman Sachs and Bernstein both reiterated ""Buy"" and ""Outperform"" ratings respectively, citing improving App Store trends and strong iPhone revenue. Cramer believes Apple is well-positioned for further growth, especially in the context of its memory industry navigation and increasing market share in China.",https://finviz.com/news/303832/apple-aapl-should-be-up-again-says-jim-cramer,https://d2gr5kl7dt2z3t.cloudfront.net/blog/wp-content/uploads/2015/08/ipad-600642_1280.jpg,2026-02-08 18:47:09+00:00,AAPL,0.265846,Somewhat-Bullish,General,Finviz,"earnings,financial_markets,technology",AAPL,1.000000,0.528091,Bullish
,USA Today,Bryan Alexander,Jennifer Garner reacts to Once Upon a Farm's eye-popping IPO,"Jennifer Garner and co-founder Cassandra Curtis celebrated Once Upon a Farm's IPO on the New York Stock Exchange. The children's nutrition company, trading under the symbol OFRM, saw its stock open 16% above its initial public offering price. Garner emphasizes the company's commitment to superior nutrition, clean ingredients, and great taste, while also balancing her acting career.","Jennifer Garner and co-founder Cassandra Curtis celebrated Once Upon a Farm's IPO on the New York Stock Exchange. The children's nutrition company, trading under the symbol OFRM, saw its stock open 16% above its initial public offering price. Garner emphasizes the company's commitment to superior nutrition, clean ingredients, and great taste, while also balancing her acting career.",https://www.usatoday.com/story/entertainment/celebrities/2026/02/06/jennifer-garner-once-upon-farm-ipo/88549366007/,"https://www.gannett-cdn.com/authoring/authoring-images/2026/02/06/USAT/88551790007-ofrmob-photo-20260206-ccpress-208.jpg?crop=4767,3577,x0,y1785?width=320&height=240",2026-02-09 00:50:29+00:00,AAPL,0.516466,Bullish,General,USA Today,"ipo,retail_wholesale,finance",AAPL,0.737225,0.114639,Neutral
,TradingKey,,What Is IVV? How to Invest in the iShares Core S&P 500 ETF (IVV),"This article provides a comprehensive guide to the iShares Core S&P 500 ETF (IVV), explaining what it is and how it functions as a low-cost, diversified way to invest in the U.S. large-cap equity market. It details how investors can use IVV for core portfolio holdings, its sector exposure and top holdings, and the various risks associated with it. The article also covers IVV's dividend policy, historical performance, and identifies suitable investors for this ETF.","This article provides a comprehensive guide to the iShares Core S&P 500 ETF (IVV), explaining what it is and how it functions as a low-cost, diversified way to invest in the U.S. large-cap equity market. It details how investors can use IVV for core portfolio holdings, its sector exposure and top holdings, and the various risks associated with it. The article also covers IVV's dividend policy, historical performance, and identifies suitable investors for this ETF.",https://www.tradingkey.com/learn/intermediate/etf/what-is-ivv-how-invest-ishares-core-sp-500-etf-tradingkey,,2026-02-09 01:51:13+00:00,AAPL,0.33818,Somewhat-Bullish,General,TradingKey,financial_markets,AAPL,0.608858,0.338572,Somewhat-Bullish
,Fat Tail Daily,James Cooper,Tech Hits a Wall—Energy Breaks Out,"As tech stocks falter and the broader market corrects, energy stocks have surged, indicating a significant sector rotation. The article highlights that traditional energy companies have been top performers this year, with the iShares Global Energy ETF up almost 15%, while tech remains flat. This shift suggests that investors should focus on sectors demonstrating clear strength, particularly energy.","As tech stocks falter and the broader market corrects, energy stocks have surged, indicating a significant sector rotation. The article highlights that traditional energy companies have been top performers this year, with the iShares Global Energy ETF up almost 15%, while tech remains flat. This shift suggests that investors should focus on sectors demonstrating clear strength, particularly energy.",https://daily.fattail.com.au/tech-hits-a-wall-energy-breaks-out/20260209/,https://daily.fattail.com.au/wp-content/uploads/2026/02/JCM20260209_IMG_1_752.jpg,2026-02-09 03:59:11+00:00,AAPL,0.140864,Neutral,General,Fat Tail Daily,"financial_markets,energy_transportation,technology,economy_macro",AAPL,0.630383,-0.429944,Bearish
,Investor's Business Daily,,Stocks Showing Rising Market Leadership: GlobalFoundries Earns 81 RS Rating,"GlobalFoundries (GFS) has seen its Relative Strength (RS) Rating increase from 77 to 81, indicating strong price performance. This proprietary rating from Investor's Business Daily assesses a stock's price leadership on a scale from 1 to 99, with higher scores denoting better performance. The chipmaker has recently shown significant market leadership with its RS Rating reaching the 80-plus level multiple times, even as it expands into AI chipmaking.","GlobalFoundries (GFS) has seen its Relative Strength (RS) Rating increase from 77 to 81, indicating strong price performance. This proprietary rating from Investor's Business Daily assesses a stock's price leadership on a scale from 1 to 99, with higher scores denoting better performance. The chipmaker has recently shown significant market leadership with its RS Rating reaching the 80-plus level multiple times, even as it expands into AI chipmaking.",https://www.investors.com/ibd-data-stories/stocks-showing-rising-market-leadership-globalfoundries-earns-81-rs-rating/?src=A00444A&refcode=aflGoogleNews,https://www.queryly.com/images/whitesearchicon.png,2026-02-09 07:58:48+00:00,AAPL,0.203862,Somewhat-Bullish,General,Investor's Business Daily,"financial_markets,technology,earnings,manufacturing",AAPL,0.745615,0.107611,Neutral
